"카테고리","세부분류","ID","이름","가격","내구도","기본공격력","방어","명중","HP","MP","힘","민첩","지력","HP%","MP%","필요직업","필요레벨","성별","필요힘","필요민첩","필요지력","거래가능","설명"
"무기","검/기타","sword_1","목도","1","1000","5~10","","","","","","","","","","","","","","","","거래가능","검/기타 '목도'. 캐릭터가 사용할 수 있는 무기입니다."
"무기","검/기타","sword_2","목검","20","4000","10~15","","","","","","","","","","","","","5","","","거래가능","검/기타 '목검'. 캐릭터가 사용할 수 있는 무기입니다. 힘 5 이상 착용 가능합니다."
"무기","검/기타","sword_3","사두목도","60","6000","15~25","","","","","","","","","","","","","10","","","거래가능","검/기타 '사두목도'. 캐릭터가 사용할 수 있는 무기입니다. 힘 10 이상 착용 가능합니다."
"무기","검/기타","sword_4","도깨비방망이","비매품","5000000","50~100","","5","","","","","","","","","50","","20","","","거래가능","검/기타 '도깨비방망이'. 공격력 +5, 명중 +5을 가진 무기입니다. 레벨 50 이상, 힘 20 이상 착용 가능합니다."
"무기","검/기타","sword_5","철검","4000","60000","55~90","","","","","","","","","","","","","30","","","거래가능","검/기타 '철검'. 캐릭터가 사용할 수 있는 무기입니다. 힘 30 이상 착용 가능합니다."
"무기","창/지팡이","spear_6","영혼마령봉","4000","50000","4~14","","","","","","","","","","주술사","50","","","","","거래가능","창/지팡이 '영혼마령봉'. 공격력 +2을 가진 무기입니다. 레벨 50 이상, 주술사 착용 가능합니다."
"무기","검/기타","sword_7","철도","2000","40000","50~85","","","","","","","","","","","","","30","","","거래가능","검/기타 '철도'. 캐릭터가 사용할 수 있는 무기입니다. 힘 30 이상 착용 가능합니다."
"무기","검/기타","sword_8","야월도","1500","400000","50~85","","2","","","","","","","","도적","45","","10","","","거래가능","검/기타 '야월도'. 공격력 +5, 명중 +2을 가진 무기입니다. 레벨 45 이상, 도적, 힘 10 이상 착용 가능합니다."
"무기","창/지팡이","spear_9","해골죽장","1500","20000","4~10","","1","","100","","","","","","도사","40","","","","","거래가능","창/지팡이 '해골죽장'. 공격력 +3, 명중 +1을 가진 무기입니다. 마력 +100 효과가 함께 붙어 있습니다. 레벨 40 이상, 도사 착용 가능합니다."
"무기","검/기타","sword_10","도씨검","250","10000","25~50","","","","","","","","","","","","","15","","","거래가능","검/기타 '도씨검'. 캐릭터가 사용할 수 있는 무기입니다. 힘 15 이상 착용 가능합니다."
"무기","창/지팡이","spear_11","장창","400","15000","30~60","","","","","","","","","","","","","17","","","거래가능","창/지팡이 '장창'. 캐릭터가 사용할 수 있는 무기입니다. 힘 17 이상 착용 가능합니다."
"무기","검/기타","sword_12","철단도","800","20000","35~70","","","","","","","","","","","","","20","","","거래가능","검/기타 '철단도'. 캐릭터가 사용할 수 있는 무기입니다. 힘 20 이상 착용 가능합니다."
"무기","검/기타","sword_13","비철단도","3000","10000","50~75","","","","200","","","3","","","","5","","10","","","거래가능","검/기타 '비철단도'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +200, 지력 +3 효과가 함께 붙어 있습니다. 레벨 5 이상, 힘 10 이상 착용 가능합니다."
"무기","검/기타","sword_14","상아검","비매품","5000","30~55","","1","200","","","","","","","","30","","10","","","거래가능","검/기타 '상아검'. 공격력 +1, 명중 +1을 가진 무기입니다. 체력 +200 효과가 함께 붙어 있습니다. 레벨 30 이상, 힘 10 이상 착용 가능합니다."
"무기","검/기타","sword_15","뇌진도","비매품","10000","55~70","","","","","","","","","","","20","","","","","거래가능","검/기타 '뇌진도'. 공격력 +1을 가진 무기입니다. 레벨 20 이상 착용 가능합니다."
"무기","검/기타","sword_18","현철중검","1500","500000","60~90","","","","","","","","","","전사","","","40","","","거래가능","검/기타 '현철중검'. 캐릭터가 사용할 수 있는 무기입니다. 전사, 힘 40 이상 착용 가능합니다."
"무기","창/지팡이","spear_23","백현모","비매품","5000000","60~100","","","","","","","10","","","","70","","20","","","거래가능","창/지팡이 '백현모'. 캐릭터가 사용할 수 있는 무기입니다. 지력 +10 효과가 함께 붙어 있습니다. 레벨 70 이상, 힘 20 이상 착용 가능합니다."
"무기","검/기타","sword_24","현랑부","비매품","5000000","50~90","","","","","","","","","","","50","","20","","","거래가능","검/기타 '현랑부'. 캐릭터가 사용할 수 있는 무기입니다. 레벨 50 이상, 힘 20 이상 착용 가능합니다."
"무기","검/기타","sword_25","무쌍현랑부","비매품","5000000","50~105","","","","","1","1","1","","","","75","","20","","","거래가능","검/기타 '무쌍현랑부'. 공격력 +2을 가진 무기입니다. 힘 +1, 민첩 +1, 지력 +1 효과가 함께 붙어 있습니다. 레벨 75 이상, 힘 20 이상 착용 가능합니다."
"무기","창/지팡이","spear_26","청명백현모","비매품","5000000","70~110","","1","","","1","1","12","","","","75","","20","","","거래가능","창/지팡이 '청명백현모'. 공격력 +1, 명중 +1을 가진 무기입니다. 힘 +1, 민첩 +1, 지력 +12 효과가 함께 붙어 있습니다. 레벨 75 이상, 힘 20 이상 착용 가능합니다."
"무기","검/기타","sword_27","백화검","비매품","5000000","90~100","","1","","","","","","","","","70","","30","","","거래가능","검/기타 '백화검'. 공격력 +3, 명중 +1을 가진 무기입니다. 레벨 70 이상, 힘 30 이상 착용 가능합니다."
"무기","검/기타","sword_29","염인백화검","비매품","5000000","105~115","","3","","","2","","","","","","75","","35","","","거래가능","검/기타 '염인백화검'. 공격력 +2, 명중 +3을 가진 무기입니다. 힘 +2 효과가 함께 붙어 있습니다. 레벨 75 이상, 힘 35 이상 착용 가능합니다."
"무기","창/지팡이","spear_30","대마령봉","100000","50000","4~4","","","","500","","","10","","","주술사","75","","","","","거래가능","창/지팡이 '대마령봉'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +500, 지력 +10 효과가 함께 붙어 있습니다. 레벨 75 이상, 주술사 착용 가능합니다."
"무기","창/지팡이","spear_31","삼촉현창","비매품","50000","70~80","","","","500","","","","","","도사","70","","17","","","거래가능","창/지팡이 '삼촉현창'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +500 효과가 함께 붙어 있습니다. 레벨 70 이상, 도사, 힘 17 이상 착용 가능합니다."
"무기","검/기타","sword_32","가시철단도","비매품","500000","80~95","","3","","","","","","","","도적","75","","10","","","거래가능","검/기타 '가시철단도'. 공격력 +5, 명중 +3을 가진 무기입니다. 레벨 75 이상, 도적, 힘 10 이상 착용 가능합니다."
"무기","검/기타","sword_33","극경도깨비봉","비매품","5000000","60~125","","6","","","1","1","1","","","","75","","10","","","거래가능","검/기타 '극경도깨비봉'. 공격력 +6, 명중 +6을 가진 무기입니다. 힘 +1, 민첩 +1, 지력 +1 효과가 함께 붙어 있습니다. 레벨 75 이상, 힘 10 이상 착용 가능합니다."
"무기","검/기타","sword_34","사두목검","150","8000","20~35","","","","","","","","","","","","","13","","","거래가능","검/기타 '사두목검'. 캐릭터가 사용할 수 있는 무기입니다. 힘 13 이상 착용 가능합니다."
"무기","창/지팡이","spear_35","진명삼지창","비매품","20000","90~100","","3","","","","","","","","","","","20","","","거래가능","창/지팡이 '진명삼지창'. 공격력 +1, 명중 +3을 가진 무기입니다. 힘 20 이상 착용 가능합니다."
"무기","검/기타","sword_37","진아광검","비매품","5000000","100~115","","5","","","","","","","","전사","99","","80","","","거래가능","검/기타 '진아광검'. 공격력 +5, 명중 +5을 가진 무기입니다. 레벨 99 이상, 전사, 힘 80 이상 착용 가능합니다."
"무기","검/기타","sword_38","일월대도","비매품","5000000","60~65","","3","","","","","","","","도적","30","","10","","","거래가능","검/기타 '일월대도'. 공격력 +3, 명중 +3을 가진 무기입니다. 레벨 30 이상, 도적, 힘 10 이상 착용 가능합니다."
"무기","검/기타","sword_40","환두대도","100000","500000","80~100","","5","","","","","","","","전사","75","","75","","","거래가능","검/기타 '환두대도'. 공격력 +1, 명중 +5을 가진 무기입니다. 레벨 75 이상, 전사, 힘 75 이상 착용 가능합니다."
"무기","검/기타","sword_41","환두대검","비매품","500000","180~250","","","","","","","","","","전사","75","","75","","","거래가능","검/기타 '환두대검'. 공격력 +2을 가진 무기입니다. 레벨 75 이상, 전사, 힘 75 이상 착용 가능합니다."
"무기","검/기타","sword_42","가시철도","비매품","500000","170~250","","3","","","","","","","","도적","75","","10","","","거래가능","검/기타 '가시철도'. 공격력 +5, 명중 +3을 가진 무기입니다. 레벨 75 이상, 도적, 힘 10 이상 착용 가능합니다."
"무기","검/기타","sword_43","양첨목봉","비매품","100000","200~210","","5","1000","","","","","","","","30","","","","","거래가능","검/기타 '양첨목봉'. 공격력 +5, 명중 +5을 가진 무기입니다. 체력 +1000 효과가 함께 붙어 있습니다. 레벨 30 이상 착용 가능합니다."
"무기","창/지팡이","spear_47","대마혼봉","비매품","300000","8~8","","","200","700","","","15","","","주술사","75","","","","","거래가능","창/지팡이 '대마혼봉'. 캐릭터가 사용할 수 있는 무기입니다. 체력 +200, 마력 +700, 지력 +15 효과가 함께 붙어 있습니다. 레벨 75 이상, 주술사 착용 가능합니다."
"무기","검/기타","sword_48","칠교칠선","비매품","25000","30~50","","","","500","","","5","","","","50","","17","","","거래가능","검/기타 '칠교칠선'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +500, 지력 +5 효과가 함께 붙어 있습니다. 레벨 50 이상, 힘 17 이상 착용 가능합니다."
"무기","검/기타","sword_49","인풍죽선","비매품","300000","50~80","","","","800","","","10","","","","60","","17","","","거래가능","검/기타 '인풍죽선'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +800, 지력 +10 효과가 함께 붙어 있습니다. 레벨 60 이상, 힘 17 이상 착용 가능합니다."
"무기","검/기타","sword_50","삭제","비매품","1","1~1","","","","1","","","1","","","","70","","25","","","거래불가","검/기타 '삭제'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +1, 지력 +1 효과가 함께 붙어 있습니다. 레벨 70 이상, 힘 25 이상 착용 가능합니다."
"무기","창/지팡이","spear_51","술사별봉","비매품","1000000","70~80","","","200","400","","","8","","","주술사","92","","","","","거래가능","창/지팡이 '술사별봉'. 캐릭터가 사용할 수 있는 무기입니다. 체력 +200, 마력 +400, 지력 +8 효과가 함께 붙어 있습니다. 레벨 92 이상, 주술사 착용 가능합니다."
"무기","창/지팡이","spear_53","진꼬마별봉","비매품","5000000","80~90","","","","800","","","10","","","도사","99","","","","","거래가능","창/지팡이 '진꼬마별봉'. 캐릭터가 사용할 수 있는 무기입니다. 마력 +800, 지력 +10 효과가 함께 붙어 있습니다. 레벨 99 이상, 도사 착용 가능합니다."
"무기","검/기타","sword_55","진성검","비매품","500000","250~300","","5","","","","","","","","전사","75","","75","","","거래가능","검/기타 '진성검'. 공격력 +4, 명중 +5을 가진 무기입니다. 레벨 75 이상, 전사, 힘 75 이상 착용 가능합니다."
"무기","검/기타","sword_56","백진도","비매품","500000","240~280","","3","","","","","","","","도적","75","","10","","","거래가능","검/기타 '백진도'. 공격력 +5, 명중 +3을 가진 무기입니다. 레벨 75 이상, 도적, 힘 10 이상 착용 가능합니다."
"무기","검/기타","sword_57","월아검","비매품","2500000","180~210","","","5000","2000","10","10","10","","","","77","","","","","거래가능","검/기타 '월아검'. 공격력 +5을 가진 무기입니다. 체력 +5000, 마력 +2000, 힘 +10, 민첩 +10, 지력 +10 효과가 함께 붙어 있습니다. 레벨 77 이상 착용 가능합니다."
"무기","검/기타","sword_58","이가닌자의검","비매품","100000","100~500","","5","300","200","5","5","5","","","","56","","","","","거래가능","검/기타 '이가닌자의검'. 공격력 +4, 명중 +5을 가진 무기입니다. 체력 +300, 마력 +200, 힘 +5, 민첩 +5, 지력 +5 효과가 함께 붙어 있습니다. 레벨 56 이상 착용 가능합니다."
"무기","검/기타","sword_59","곤봉","비매품","600000","60~90","","","","","","","","","","","40","","","","","거래가능","검/기타 '곤봉'. 캐릭터가 사용할 수 있는 무기입니다. 레벨 40 이상 착용 가능합니다."
"무기","검/기타","sword_60","횃불","비매품","500000","60~90","","","-100","","","","2","","","","70","","","","","거래가능","검/기타 '횃불'. 캐릭터가 사용할 수 있는 무기입니다. 체력 -100, 지력 +2 효과가 함께 붙어 있습니다. 레벨 70 이상 착용 가능합니다."
"무기","검/기타","sword_61","요존도","비매품","400000","65~98","","","","","","","","","","","40","","","","","거래가능","검/기타 '요존도'. 캐릭터가 사용할 수 있는 무기입니다. 레벨 40 이상 착용 가능합니다."
"무기","검/기타","sword_62","태존도","비매품","500000","75~100","","5","","","","","","","","","76","","","","","거래가능","검/기타 '태존도'. 공격력 +1, 명중 +5을 가진 무기입니다. 레벨 76 이상 착용 가능합니다."
"무기","검/기타","sword_63","진월신검","비매품","5000000","400~500","","7","","","10","10","10","5","","전사","80","","","","","거래가능","검/기타 '진월신검'. 공격력 +2, 명중 +7을 가진 무기입니다. 체력 +5%, 힘 +10, 민첩 +10, 지력 +10 효과가 함께 붙어 있습니다. 레벨 80 이상, 전사 착용 가능합니다."
